Consortia,LogPhase,NGen,GR
X1,21.33333333,3.147634013,0.611549856
X2,51.33333333,3.487966518,0.066992731
X3,28.66666667,3.601325556,0.125802847
X4,7.333333333,1.616068665,0.308406513
X5,19,3.197331517,0.157232359
X6,29,4.820327919,0.166687309
X7,33.33333333,5.858596549,0.17245351
X8,21.66666667,4.764693822,0.238252046
X9,42.66666667,4.227526833,0.100070377
X10,29,2.812756104,0.097451573
X11,31.66666667,2.006068298,0.098410533
X12,23.33333333,2.681970436,0.11587454
X13,27,3.028649721,0.112172212
X14,26.66666667,3.532480769,0.148541044
X15,23.33333333,4.552551805,0.20326825
X16,28.33333333,3.806307873,0.135772965
X17,27.33333333,2.985905428,0.111293607
X18,69,2.262506366,0.034182599
X19,35,2.891456338,0.085937411
X20,26.66666667,3.56048793,0.132967622
X21,25.33333333,3.204891445,0.128269378
X22,25.33333333,3.826999633,0.152539685
X23,27,3.679542604,0.139743086
X24,30.33333333,3.154285386,0.106632116
X25,28.33333333,2.700391281,0.095854809
X26,26.66666667,3.241807262,0.127881172
X27,25.33333333,3.366051992,0.132954389
X28,25.66666667,3.690728049,0.145519924
X29,22.66666667,4.113447106,0.181312036
X30,26.66666667,3.46520752,0.129840922
X31,45.33333333,3.201668793,0.09597703
X32,45.33333333,2.294504253,0.057814685
X33,36.66666667,2.901602907,0.090925122
X34,26.33333333,3.454142544,0.131333879
X35,31.66666667,3.493909477,0.110368444
X36,24,4.641514707,0.193573837
X37,26.66666667,3.782258718,0.142222347
X38,25,3.221339579,0.139950123
X39,24,2.465449979,0.103667355
X40,24.33333333,2.954522276,0.126223394
X41,23,2.911109898,0.128493203
X42,25.33333333,3.373446815,0.132753392
X43,22.33333333,3.34510229,0.150345327
X44,24.66666667,2.960689318,0.120274862
X45,31.33333333,2.924434371,0.095549245
X46,23,2.90310367,0.131328829
X47,22,2.16781414,0.10221338
X48,24.66666667,2.956133846,0.119494629
X49,22.33333333,2.368384654,0.14559616
X50,23.33333333,3.875399388,0.170194974
X51,29.66666667,3.575816833,0.121046022
X52,30.33333333,3.210290744,0.105978141
X53,22,3.022879556,0.155547766
X54,48.66666667,2.591639079,0.061955782
X55,20.33333333,2.562021544,0.130678547
X56,26.66666667,3.034989811,0.113825408
X57,22.66666667,4.081035868,0.179206086
X58,25.66666667,3.583513171,0.14001318
X59,23.66666667,3.180575201,0.136952531
X60,23,2.856055753,0.124928102
X61,32,2.214967613,0.105280234
X62,28.33333333,3.022128564,0.108674559
X63,22.33333333,2.839200579,0.127036571
X93,25.33333333,3.263768587,0.135094054
X94,18.66666667,2.630961246,0.143163411
X95,24,2.687722483,0.114357733
X96,26.66666667,2.599657638,0.100793014
X97,18,2.084706351,0.151824313
X98,24,2.867722891,0.119566428
X99,26,2.671659797,0.102609647
X100,21.66666667,3.834260286,0.177413064
X101,19,2.871411431,0.151563277
X102,26,3.334374417,0.128968598
X103,28.66666667,3.30226399,0.11658448
X104,26.33333333,3.006023945,0.114593077
X105,23.33333333,2.761060326,0.119045389
X106,25.33333333,3.071239966,0.121706767
X107,23.66666667,3.916364275,0.165499257
X108,26,3.365314597,0.132136204
X109,25.66666667,2.870343877,0.112930068
X110,25.33333333,3.25943777,0.128953775
X111,24.33333333,2.821637313,0.116819952
X112,25,2.603544475,0.106242065
X113,23,3.260824973,0.141814514
X114,20.66666667,2.810469615,0.135933814
X115,24,2.676879403,0.111911254
X116,22.66666667,2.801442894,0.124634325
X117,20.66666667,2.824970031,0.139464055
X118,29.66666667,2.489367857,0.095465449
X119,21.33333333,2.52556341,0.118385652
X120,23.33333333,2.796686231,0.122262608
X121,19,3.491040173,0.183738957
X122,22.66666667,3.185251666,0.14072965
X123,19.33333333,3.083937249,0.165522491
X124,18,2.906052956,0.161485056
X125,17.33333333,3.014042155,0.1757454
X126,19,2.740852815,0.146763854
X127,21.66666667,2.916474379,0.140424263
X72,22.66666667,3.118899222,0.148594836
X73,23.66666667,3.444513756,0.145471746
X74,24.33333333,2.759604715,0.122323321
X75,22,2.774808036,0.126254964
X76,26.33333333,3.014912423,0.119071561
X77,20.66666667,2.920705075,0.142048045
X78,21.66666667,3.782654679,0.175060587
X79,26.66666667,4.07222252,0.152907486
X80,23.33333333,3.987509195,0.169853349
X81,24,3.216125187,0.135189484
X82,22.33333333,2.945314038,0.136351838
X83,23,2.616170426,0.118152479
X84,22.33333333,2.2516657,0.100881807
X85,20.33333333,2.646360864,0.134203225
X86,20.66666667,4.032337494,0.195027312
X87,23,3.274423703,0.142763263
X88,21.66666667,2.93441264,0.141344186
X89,23,3.207309509,0.141545063
X90,21.66666667,3.076223146,0.144579465
X91,22,3.22086876,0.148519194
X92,21.66666667,2.790860207,0.132899807
X64,13.66666667,3.088307635,0.260271456
X65,22.33333333,2.80923796,0.136618756
X66,20,2.83870737,0.149126171
X67,16,2.528935265,0.158747946
X68,17.33333333,2.683205483,0.154887826
X69,15.33333333,2.704617117,0.190459445
X70,14.33333333,2.850884301,0.234690759
X71,16.33333333,3.006710496,0.184135751
